setid,Mole fraction of 1-methyl-3-octylimidazolium tetrafluoroborate,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XgYtN,0,101,298.15,894.49,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.047,101,298.15,922.52,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.0995,101,298.15,948.57,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.1983,101,298.15,986.81,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.2988,101,298.15,1015.53,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.376,101,298.15,1032.81,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.4016,101,298.15,1037.92,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.4493,101,298.15,1046.47,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.5001,101,298.15,1054.72,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.5539,101,298.15,1062.44,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.6014,101,298.15,1068.71,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.7047,101,298.15,1081.04,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.796,101,298.15,1089.21,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,0.8908,101,298.15,1096.9,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
XgYtN,1,101,298.15,1105,Zhu et al. (2012b),Density,Liquid,AAQxSq,CCOC(C)=O,ethyl acetate,ABCNhW,CCCCCCCCn1cc[n+](C)c1.F[B-](F)(F)F,1-methyl-3-octylimidazolium tetrafluoroborate,,,
