setid,"Pressure, kPa","Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium methyl sulfate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LgHqH,100,293.15,0,998.2,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.000773811,1000,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.00139088,1001.5,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.0031281,1005.4,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.00488006,1009.3,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.00763934,1015.3,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.0099327,1020.1,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.0128937,1026.1,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.016519,1033,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
LgHqH,100,293.15,0.0196412,1038.7,Troncoso (2021),Density,Liquid,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate,AADYJk,O,water,,,
