setid,"Temperature, K","Mole fraction of 1,3-bis(hexyloxymethyl)imidazolium tetrafluoroborate","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JxLNm,308.15,0.0009,101,772,Domanska et al. (2008d),Density,Liquid,AAGIBL,CO,methanol,ABVuik,CCCCCCOCn1cc[n+](COCCCCCC)c1.F[B-](F)(F)F,"1,3-bis(hexyloxymethyl)imidazolium tetrafluoroborate",,,
JxLNm,308.15,0.0014,101,773,Domanska et al. (2008d),Density,Liquid,AAGIBL,CO,methanol,ABVuik,CCCCCCOCn1cc[n+](COCCCCCC)c1.F[B-](F)(F)F,"1,3-bis(hexyloxymethyl)imidazolium tetrafluoroborate",,,
JxLNm,308.15,0.0019,101,774.1,Domanska et al. (2008d),Density,Liquid,AAGIBL,CO,methanol,ABVuik,CCCCCCOCn1cc[n+](COCCCCCC)c1.F[B-](F)(F)F,"1,3-bis(hexyloxymethyl)imidazolium tetrafluoroborate",,,
JxLNm,318.15,0.0007,101,766.9,Domanska et al. (2008d),Density,Liquid,AAGIBL,CO,methanol,ABVuik,CCCCCCOCn1cc[n+](COCCCCCC)c1.F[B-](F)(F)F,"1,3-bis(hexyloxymethyl)imidazolium tetrafluoroborate",,,
JxLNm,318.15,0.0012,101,767,Domanska et al. (2008d),Density,Liquid,AAGIBL,CO,methanol,ABVuik,CCCCCCOCn1cc[n+](COCCCCCC)c1.F[B-](F)(F)F,"1,3-bis(hexyloxymethyl)imidazolium tetrafluoroborate",,,
JxLNm,318.15,0.0019,101,767.8,Domanska et al. (2008d),Density,Liquid,AAGIBL,CO,methanol,ABVuik,CCCCCCOCn1cc[n+](COCCCCCC)c1.F[B-](F)(F)F,"1,3-bis(hexyloxymethyl)imidazolium tetrafluoroborate",,,
