setid,Mole fraction of 1-(3-hydroxypropyl)pyridinium tricyanomethanide,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
harRG,0,293.15,101,1064.42,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,298.15,101,1058.53,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,303.15,101,1052.67,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,308.15,101,1046.69,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,313.15,101,1040.71,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,318.15,101,1034.78,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,323.15,101,1028.69,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,328.15,101,1022.51,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,333.15,101,1016.4,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,338.15,101,1010.15,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,343.15,101,1003.94,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0,348.15,101,997.65,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0.4088,293.15,101,1137.42,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0.4088,298.15,101,1133.63,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0.4088,303.15,101,1129.84,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0.4088,308.15,101,1126.06,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
harRG,0.4088,313.15,101,1122.3,Domaska et al. (2019),Density,Liquid,AAruhe,N#C[C-](C#N)C#N.OCCC[n+]1ccccc1,1-(3-hydroxypropyl)pyridinium tricyanomethanide,AAQJSl,c1ccsc1,thiophene,,,
