setid,"MolaLity of 1-ethyl-3-methyl-1H-imidazolium L-isoleucinate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
cQNij,0,101,298.15,997.047,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.009,101,298.15,997.351,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.0183,101,298.15,997.669,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.0547,101,298.15,998.875,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.072,101,298.15,999.438,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.0909,101,298.15,1000.03,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.1289,101,298.15,1001.21,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.1667,101,298.15,1002.39,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.2045,101,298.15,1003.52,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.2429,101,298.15,1004.66,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.2846,101,298.15,1005.92,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.3359,101,298.15,1007.41,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.3821,101,298.15,1008.78,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.4303,101,298.15,1010.15,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
cQNij,0.4856,101,298.15,1011.68,Dagade et al. (2013),Density,Liquid,AADYJk,O,water,AAuVlG,CC[C@H](C)[C@H](N)C(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methyl-1H-imidazolium L-isoleucinate,,,
