setid,"Temperature, K","MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetramethylammonium chloride, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PDNwF,288.15,0,84.5,0.035,999.201,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.00116,84.5,0.035,999.246,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.00202,84.5,0.035,999.28,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.00259,84.5,0.035,999.301,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.00285,84.5,0.035,999.312,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.00365,84.5,0.035,999.343,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.00453,84.5,0.035,999.379,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.005,84.5,0.035,999.398,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.00526,84.5,0.035,999.406,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
PDNwF,288.15,0.00604,84.5,0.035,999.44,Golabiazar and Sadeghi (2014b),Density,Liquid,AAVDUE,C[N+](C)(C)C.[Cl-],tetramethylammonium chloride,AADYJk,O,water,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide
