setid,"MolaRity of tetraphenylphosphonium chloride, mol/dm3","Temperature, K","Pressure, kPa",Solvent: Mole fraction of acetonitrile,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CmLIT,0,298.15,101,0.05,978.5,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.0001,298.15,101,0.05,978.6,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.0002,298.15,101,0.05,978.5,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.0003,298.15,101,0.05,978.5,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.0004,298.15,101,0.05,978.3,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.004206,298.15,101,0.05,978.8,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.006704,298.15,101,0.05,979,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.008925,298.15,101,0.05,979.1,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.010125,298.15,101,0.05,979.1,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.010674,298.15,101,0.05,979.3,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.011085,298.15,101,0.05,979.2,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.014319,298.15,101,0.05,979.5,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.016784,298.15,101,0.05,979.6,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.018504,298.15,101,0.05,979.8,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
CmLIT,0.022926,298.15,101,0.05,980,Perie and Perie (1989),Density,Liquid,AAHueB,CC#N,acetonitrile,ABUEqe,[Cl-].c1ccc([P+](c2ccccc2)(c2ccccc2)c2ccccc2)cc1,tetraphenylphosphonium chloride,AADYJk,O,water
