setid,Mole fraction of 1-methyl-3-octylimidazolium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
xPzHe,0,303.15,97.6,939.2,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,308.15,97.6,934.4,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,313.15,97.6,929.6,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,318.15,97.6,924.9,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,323.15,97.6,920.1,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,328.15,97.6,915.3,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,333.15,97.6,910.4,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,338.15,97.6,905.6,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,343.15,97.6,900.7,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
xPzHe,0,348.15,97.6,895.9,Yang et al. (2017a),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAsTjr,CCCCCCCCn1cc[n+](C)c1.[Cl-],1-methyl-3-octylimidazolium chloride,,,
