setid,"MolaLity of L-aminosuccinic acid, mol/kg","Solvent: MolaLity of 1-heptyl-3-methylimidazolium tetrafluoroborate, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
irWWQ,0,0.01,288.15,100,999.44,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0,0.01,298.15,100,997.37,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0,0.01,308.15,100,994.34,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0,0.03,288.15,100,1000.15,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0,0.03,298.15,100,998.03,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0,0.03,308.15,100,994.95,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0,0.05,288.15,100,1000.88,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0,0.05,298.15,100,998.7,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0,0.05,308.15,100,995.56,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0095,0.01,288.15,100,1000.03,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0095,0.01,298.15,100,997.95,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0095,0.01,308.15,100,994.9,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
irWWQ,0.0097,0.05,288.15,100,1001.49,Gaba et al. (2021),Density,Liquid,AAZfqp,N[C@@H](CC(=O)O)C(=O)O,L-aminosuccinic acid,AAzdjR,CCCCCCC[n+]1ccn(C)c1.F[B-](F)(F)F,1-heptyl-3-methylimidazolium tetrafluoroborate,AADYJk,O,water
