setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium hexafluorophosphate,Mole fraction of acetic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
VMUdk,293.15,0.0374,0.6095,100,1069,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.0485,0.4975,100,1108,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.0593,0.3848,100,1112,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.0692,0.2821,100,1061,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.0779,0.1906,100,1058,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.0877,0.0895,100,1094,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.1117,0.6723,100,1147,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.1378,0.817,100,1096,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.1912,0.4374,100,1180,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.2256,0.3425,100,1167,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.2697,0.4953,100,1210,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.2795,0.1819,100,1205,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
VMUdk,293.15,0.3202,0.5734,100,1199,Masilo et al. (2021),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AALcAl,CC(=O)O,acetic acid,AAXFxu,CC(=O)c1ccccc1,acetophenone
