setid,"Temperature, K","Mole fraction of 1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
hBBYs,293.15,0,100,1129.5,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.0505,100,1184.2,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.1001,100,1226.3,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.1492,100,1260,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.1998,100,1289,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.3008,100,1333,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.4031,100,1365,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.5048,100,1390,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.6031,100,1410,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.6973,100,1425,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.7994,100,1438,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,0.8711,100,1446,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,293.15,1,100,1459,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0,100,1124.6,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.0505,100,1179.2,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.1001,100,1221.4,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.1492,100,1255,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.1998,100,1284,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.3008,100,1328,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.4031,100,1361,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
hBBYs,298.15,0.5048,100,1386,Papovic et al. (2016a),Density,Liquid,AAQcgW,O=C1CCCO1,.gamma.-butyrolactone,ABchRt,CCCn1cc[n+](C)c1C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"1,2-dimethyl-3-propylimidazolium bis[(trifluoromethyl)sulfonyl]imide",,,
