setid,"Temperature, K",Mole fraction of ammonium ethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
mgkdd,298.15,0,101,1098.3,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,298.15,0.05,101,1105,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,298.15,0.0999,101,1113.7,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,298.15,0.1701,101,1124.1,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,303.15,0,101,1095.2,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,303.15,0.05,101,1101.8,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,303.15,0.0999,101,1110.5,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,303.15,0.1701,101,1120.8,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,308.15,0,101,1092.4,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,308.15,0.05,101,1098.7,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
mgkdd,308.15,0.0999,101,1107.3,Oliveira et al. (2015),Density,Liquid,AAYXWt,CCS(=O)(=O)[O-].[NH4+],ammonium ethanesulfonate,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,,,
