setid,"Temperature, K",Mole fraction of 1-octyl-3-methylimidazolium hexafluorophosphate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
LfWmP,293.15,0,101,881.134,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.1078,101,957.599,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.2016,101,1010.44,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.3056,101,1058.02,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.3855,101,1088.6,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.4815,101,1120,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.5918,101,1150.6,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.6857,101,1173.2,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.7784,101,1193,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,0.8946,101,1215.1,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,293.15,1,101,1222.8,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0,101,876.004,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.1078,101,953.226,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.2016,101,1006.23,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.3056,101,1053.87,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.3855,101,1084.4,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.4815,101,1116,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.5918,101,1146.8,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.6857,101,1169.4,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.7784,101,1189.3,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
LfWmP,298.15,0.8946,101,1211.3,Malek et al. (2014b),Density,Liquid,AAWRvN,CCCCOC(C)=O,butyl ethanoate,ABNWoR,CCCCCCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-octyl-3-methylimidazolium hexafluorophosphate,,,
