setid,"Temperature, K","MolaLity of N,N-dimethylbenzylammonium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
jXDrl,288.15,0.05,101,1000.06,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,288.15,0.1,101,1001.06,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,288.15,0.15,101,1001.82,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,288.15,0.2,101,1002.85,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,298.15,0.05,101,997.958,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,298.15,0.1,101,999.043,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,298.15,0.15,101,999.682,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,298.15,0.2,101,1000.71,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,308.15,0.05,101,995.017,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,308.15,0.1,101,995.871,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,308.15,0.15,101,996.548,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,308.15,0.2,101,997.483,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,318.15,0.05,101,991.082,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,318.15,0.1,101,991.952,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,318.15,0.15,101,992.662,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
jXDrl,318.15,0.2,101,993.451,Singh et al. (2015d),Density,Liquid,AADYJk,O,water,AAlcfh,CC(=O)[O-].C[NH+](C)Cc1ccccc1,"N,N-dimethylbenzylammonium acetate",,,
