setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,Mole fraction of propanoic acid,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ZTdib,293.15,0.0893,0.4698,100,961.2,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.1261,0.2516,100,941.6,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.1376,0.1824,100,934.7,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.1449,0.7359,100,1017.9,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.1536,0.0875,100,925.7,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.2098,0.3319,100,984,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.2549,0.1852,100,979.8,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.273,0.121,100,977.1,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.2821,0.7028,100,1046.2,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.2955,0.4618,100,1020,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.3821,0.3031,100,1022.9,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.4263,0.2218,100,1025.4,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.4402,0.5364,100,1055.1,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.4624,0.1564,100,1025,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
ZTdib,293.15,0.5051,0.0753,100,1025.7,Singh et al. (2019),Density,Liquid,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,AAOMRa,CCC(=O)O,propanoic acid,AAHueB,CC#N,acetonitrile
