setid,"MolaLity of 1-butyl-3-methylimidazolium chloride, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
IYZHD,0.1,288.15,101,1000.51,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.1,288.15,101,1000.6,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.1,298.15,101,998.33,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.1,298.15,101,998.41,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.1,308.15,101,995.21,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.1,308.15,101,995.3,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.3,288.15,101,1003.16,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.3,288.15,101,1003.21,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.3,298.15,101,1000.76,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.3,298.15,101,1000.79,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.3,308.15,101,997.46,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
IYZHD,0.3,308.15,101,997.5,Gaba et al. (2016),Density,Liquid,AADYJk,O,water,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,,,
