setid,"Temperature, K","Solvent: MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
SFmMd,293.15,0.04,0,101,1002.1,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.01924,101,1002.6,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.0397,101,1003.3,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.0599,101,1004,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.0791,101,1004.6,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.0995,101,1005.2,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.1186,101,1005.9,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.1386,101,1006.5,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.1584,101,1007.1,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.1779,101,1007.8,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.04,0.1994,101,1008.5,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.08,0,101,1001.8,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.08,0.01962,101,1002.4,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.08,0.03996,101,1003.1,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.08,0.0597,101,1003.7,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.08,0.0795,101,1004.3,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
SFmMd,293.15,0.08,0.0993,101,1005,Yan et al. (2019),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water
