setid,"Temperature, K",Mole fraction of 1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aECki,293.15,0,100,804,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.04962,100,915,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.10027,100,1005,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.19952,100,1136,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.29866,100,1228,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.39895,100,1297,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.50035,100,1352,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.60065,100,1394,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.6971,100,1428,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
aECki,293.15,0.80242,100,1459,Ramos-Estrada et al. (2018),Density,Liquid,ABZdDq,C=CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-allyl-3-methyl-1H-imidazolium bis((trifluoromethyl)sulfonyl)amide,AALcLI,CCCO,propan-1-ol,,,
