setid,"MolaLity of 1-hexyl-3-methylimidazolium trifluoromethanesulfonate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PNEfi,0.05,101,323.15,796.7,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.1,101,323.15,801.05,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.151,101,323.15,805.37,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.202,101,323.15,809.6,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.254,101,323.15,813.84,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.3,101,323.15,817.52,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.401,101,323.15,825.41,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.498,101,323.15,832.62,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.61,101,323.15,840.59,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.705,101,323.15,847.05,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.803,101,323.15,853.55,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,0.849,101,323.15,856.48,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
PNEfi,1,101,323.15,865.7,Gonzalez et al. (2014a),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,ABIrWy,CCCCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-hexyl-3-methylimidazolium trifluoromethanesulfonate,,,
