setid,"Temperature, K","MolaLity of N-acetyl-p-aminophenol, mol/kg","Solvent: MolaLity of 2-hydroxy-N,N,N-trimethylethanaminium glycinate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
CxCkg,298.15,0,0.295,87.1,1004.1,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0,0.623,87.1,1010.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0,0.99,87.1,1016.3,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.027,0.99,87.1,1017.5,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.029,0.623,87.1,1011.8,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.03,0.295,87.1,1005.4,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.034,0.99,87.1,1017.8,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.035,0.295,87.1,1005.6,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.035,0.623,87.1,1012,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
CxCkg,298.15,0.041,0.623,87.1,1012.3,Shekaari et al. (2021a),Density,Liquid,AAdDTg,CC(=O)Nc1ccc(O)cc1,N-acetyl-p-aminophenol,AAiOjp,C[N+](C)(C)CCO.NCC(=O)[O-],"2-hydroxy-N,N,N-trimethylethanaminium glycinate",AADYJk,O,water
