setid,Mole fraction of 1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,"Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NzwTl,0,101,298.15,792.7,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.0001,101,298.15,792.9,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.0002,101,298.15,792.7,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.0003,101,298.15,792.9,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.0711,101,298.15,1017.3,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.0711,101,298.15,1017.3,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.0868,101,298.15,1047.7,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.0868,101,298.15,1047.7,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.1772,101,298.15,1163.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
NzwTl,0.1772,101,298.15,1163.2,Deng et al. (2011a),Density,Liquid,AAGIBL,CO,methanol,ABiCtA,CCCCCC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-hexyl-3-methylimidazolium bis[(trifluoromethyl)sulfonyl]imide,,,
