setid,Mole fraction of cyclohexane,Mole fraction of toluene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
vFAna,0.0049,0.2184,303.15,101.3,8.417,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.0064,0.1546,303.15,101.3,8.264,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.0064,0.1904,303.15,101.3,8.344,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.0078,0.1536,303.15,101.3,8.225,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.0097,0.0407,303.15,101.3,7.829,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.01,0.076,303.15,101.3,7.958,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.01,0.0883,303.15,101.3,7.99,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.01,0.0927,303.15,101.3,8.031,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.0101,0.0615,303.15,101.3,7.887,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.0105,0.0743,303.15,101.3,7.934,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.0117,0.0533,303.15,101.3,7.849,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.012,0.0182,303.15,101.3,7.707,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.012,0.0301,303.15,101.3,7.765,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.0133,0,303.15,101.3,7.675,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.1097,0.8378,303.15,101.3,8.417,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.1815,0.7948,303.15,101.3,8.344,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.2557,0.7337,303.15,101.3,8.264,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.2938,0.6901,303.15,101.3,8.225,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.4946,0.47,303.15,101.3,8.031,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.5702,0.4298,303.15,101.3,7.99,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
vFAna,0.5983,0.3949,303.15,101.3,7.958,Abu-Eishah and Dowaidar (2008),Density,Liquid,AARlpN,Cc1ccccc1,toluene,AAQJlb,C1CCCCC1,cyclohexane,AAtevY,CCCC[n+]1ccc(C)cc1.F[B-](F)(F)F,1-butyl-4-methylpyridinium tetrafluoroborate
