setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
rEFCs,298.15,0.1,101,960.4,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,298.15,0.1999,101,1043.8,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,298.15,0.3,101,1091.5,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,298.15,0.3998,101,1122.2,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,298.15,0.5002,101,1143.9,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,298.15,0.5997,101,1159.9,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,298.15,0.7005,101,1172.2,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,298.15,0.7998,101,1181.4,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,298.15,0.8913,101,1188,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
rEFCs,303.15,0.1,101,956.6,Yu et al. (2012),Density,Liquid,AAGIBL,CO,methanol,ABCtec,CCCC[n+]1ccn(C)c1.N[C@@H](CCC(=O)O)C(=O)[O-],1-butyl-3-methylimidazolium (S)-2-amino-4-carboxybutanoate,,,
