setid,"Temperature, K",Mole fraction of 1-ethyl-3-methylimidazolium ethyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
kqyUp,288.15,0,101.3,943.9,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.0471,101.3,969.4,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.074,101.3,983,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.1035,101.3,997.9,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.2095,101.3,1044.1,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.3059,101.3,1079,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.405,101.3,1109.7,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.505,101.3,1136.7,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.6053,101.3,1160.8,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.7025,101.3,1181.8,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.8051,101.3,1201.5,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,0.9026,101.3,1218.3,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,288.15,1,101.3,1236.3,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
kqyUp,293.15,0,101.3,939.4,Oriyomi et al. (2020),Density,Liquid,AAThEN,CCCCC(=O)O,pentanoic acid,AAtWDT,CCOS(=O)(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium ethyl sulfate,,,
