setid,"Solvent: MolaLity of 1-methyl-3-propylimidazolium bromide, mol/kg","MolaLity of [bis(salicylidene)ethylenediaminato]oxovanadium, mol/kg","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
tYwBA,0,0,298.15,101,936.3,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0,0.0113,298.15,101,937.6,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0,0.0197,298.15,101,938.6,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0,0.0301,298.15,101,939.8,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0,0.0408,298.15,101,941,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0,0.0599,298.15,101,943.3,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0,0.0789,298.15,101,945.5,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0,0.0897,298.15,101,946.7,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0,0.0988,298.15,101,947.8,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0.2002,0,298.15,101,950.7,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0.2002,0.02,298.15,101,953,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
tYwBA,0.2002,0.0299,298.15,101,954.2,Shekaari et al. (2012e),Density,Liquid,AAQngv,CC(=O)N(C)C,"N,N-dimethylethanamide",ABMEcw,O=[V-2]123Oc4ccccc4C=[N+]1CC[N+]2=Cc1ccccc1O3,[bis(salicylidene)ethylenediaminato]oxovanadium,AAnWVs,CCCn1cc[n+](C)c1.[Br-],1-methyl-3-propylimidazolium bromide
