setid,"Mole fraction of 1-butyl-2,3-dimethylimidazolium tetrafluoroborate","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
UJdQO,0,101,298.15,997.043,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.0085,101,298.15,1012.56,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.0397,101,298.15,1053.33,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.1068,101,298.15,1100.33,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.1997,101,298.15,1132.18,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.2577,101,298.15,1144.22,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.3222,101,298.15,1154,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.7058,101,298.15,1182.1,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.7325,101,298.15,1183.2,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,0.8659,101,298.15,1187.8,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
UJdQO,1,101,298.15,1191.2,Malham and Turmine (2008),Density,Liquid,AADYJk,O,water,AAuItX,CCCC[n+]1ccn(C)c1C.F[B-](F)(F)F,"1-butyl-2,3-dimethylimidazolium tetrafluoroborate",,,
