setid,"Temperature, K","Mole fraction of methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
oPDDD,298.15,0.1013,101,1008.2,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,298.15,0.2,101,1045.9,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,298.15,0.4001,101,1080,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,298.15,0.5003,101,1088.8,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,298.15,0.6651,101,1098.4,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,303.15,0.1013,101,1004.5,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,303.15,0.2,101,1042.8,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,303.15,0.4001,101,1078,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,303.15,0.5003,101,1086.6,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,303.15,0.6651,101,1096.2,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,313.15,0.1013,101,995.5,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,313.15,0.2,101,1033.5,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,313.15,0.4001,101,1070.5,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,313.15,0.5003,101,1079.5,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
oPDDD,313.15,0.6651,101,1089.5,Deenadayalu et al. (2010b),Density,Liquid,AAOMHN,COC(C)=O,methyl ethanoate,ACUobF,CCCCCCCC[N+](C)(CCCCCCCC)CCCCCCCC.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"methyltrioctylammonium 1,1,1-trifluoro-N-[(trifluoromethyl)sulfonyl]methanesulfonamide",,,
