setid,"Mole fraction of 2,2,2-trifluoroethanol","Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zZxfl,0,293.15,96.7,1523.3,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0,298.15,96.7,1518.3,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0,303.15,96.7,1513.3,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0,308.15,96.7,1508.3,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0,313.15,96.7,1503.3,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0,318.15,96.7,1498.3,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0,323.15,96.7,1493.4,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0,328.15,96.7,1488.4,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0,333.15,96.7,1483.5,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0.051,293.15,96.7,1521.9,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0.051,298.15,96.7,1516.8,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
zZxfl,0.051,303.15,96.7,1511.8,Yang et al. (2023c),Density,Liquid,AATMSw,OCC(F)(F)F,"2,2,2-trifluoroethanol",ABXNZH,CC[n+]1ccn(C)c1.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,1-ethyl-3-methylimidazolium bis((trifluoromethyl)sulfonyl)imide,,,
