setid,"MolaLity of 1-butyl-3-methylimidazolium gluconate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dezoa,0,101,298.15,801.548,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABMPnT,CCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-butyl-3-methylimidazolium gluconate,,,
dezoa,0.0896,101,298.15,811.162,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABMPnT,CCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-butyl-3-methylimidazolium gluconate,,,
dezoa,0.12,101,298.15,814.313,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABMPnT,CCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-butyl-3-methylimidazolium gluconate,,,
dezoa,0.1296,101,298.15,815.301,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABMPnT,CCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-butyl-3-methylimidazolium gluconate,,,
dezoa,0.1376,101,298.15,816.114,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABMPnT,CCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-butyl-3-methylimidazolium gluconate,,,
dezoa,0.1578,101,298.15,818.152,Chen et al. (2016b),Density,Liquid,AALcLI,CCCO,propan-1-ol,ABMPnT,CCCC[n+]1ccn(C)c1.O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,1-butyl-3-methylimidazolium gluconate,,,
