setid,"MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ytWOd,0,101.3,298.15,1095.3,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.00268,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.004967,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.007868,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.01038,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.01304,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.016,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.01873,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.02082,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.02457,101.3,298.15,1095.4,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
ytWOd,0.02736,101.3,298.15,1095.5,Wang et al. (2009a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,,,
