setid,"Temperature, K","MolaLity of 1,1,3,3-tetramethylguanidinium cinnamate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dDGtR,293.15,0.01038,100,998.5,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,293.15,0.02029,100,998.8,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,293.15,0.04943,100,999.6,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,293.15,0.08032,100,1000.5,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,293.15,0.10016,100,1001.1,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,293.15,0.14956,100,1002.4,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,293.15,0.20015,100,1003.8,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,298.15,0.01038,100,997.3,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,298.15,0.02029,100,997.6,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,298.15,0.04943,100,998.4,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,298.15,0.08032,100,999.3,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,298.15,0.10016,100,999.8,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,298.15,0.14956,100,1001.1,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,298.15,0.20015,100,1002.4,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,303.15,0.01038,100,995.9,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,303.15,0.02029,100,996.2,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,303.15,0.04943,100,997,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,303.15,0.08032,100,997.8,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,303.15,0.10016,100,998.4,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,303.15,0.14956,100,999.6,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,303.15,0.20015,100,1000.9,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,308.15,0.01038,100,994.3,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
dDGtR,308.15,0.02029,100,994.6,Das et al. (2017),Density,Liquid,AAyhDH,CN(C)C(=[NH2+])N(C)C.O=C([O-])C=Cc1ccccc1,"1,1,3,3-tetramethylguanidinium cinnamate",AADYJk,O,water,,,
