setid,"Temperature, K","MolaLity of N-dodecyl-N,N-dimethylbenzenemethanaminium chloride, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
RDjHj,288.15,0.0019,101.325,999.106,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0029,101.325,999.108,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0038,101.325,999.11,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0046,101.325,999.11,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0056,101.325,999.113,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.006,101.325,999.113,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0073,101.325,999.115,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0084,101.325,999.113,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0133,101.325,999.085,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0308,101.325,998.951,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0541,101.325,998.771,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.058,101.325,998.765,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0792,101.325,998.578,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.0994,101.325,998.449,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.1847,101.325,997.917,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,288.15,0.2726,101.325,997.398,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0019,101.325,997.041,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0029,101.325,997.039,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0038,101.325,997.037,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0046,101.325,997.034,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0056,101.325,997.03,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.006,101.325,997.028,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0073,101.325,997.026,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0084,101.325,997.02,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0133,101.325,996.975,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0308,101.325,996.801,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0541,101.325,996.591,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.058,101.325,996.562,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0792,101.325,996.36,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.0994,101.325,996.176,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.1847,101.325,995.453,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
RDjHj,298.15,0.2726,101.325,994.727,Gonzalez-Perez et al. (2003),Density,Liquid,ABNTxQ,CCCCCCCCCCCC[N+](C)(C)CC1=CC=CC=C1.[Cl-],"N-dodecyl-N,N-dimethylbenzenemethanaminium chloride",AADYJk,O,water,,,
