setid,"Temperature, K","Pressure, kPa",Mole fraction of water,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
KQPTB,293.15,100,0.013,1149.9,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,500,0.013,1150,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,1000,0.013,1150.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,2000,0.013,1150.5,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,3000,0.013,1150.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,4000,0.013,1151,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,6000,0.013,1151.6,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,8000,0.013,1152.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,10000,0.013,1152.8,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,15000,0.013,1154.1,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,20000,0.013,1155.9,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,25000,0.013,1157,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,30000,0.013,1158.3,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,293.15,35000,0.013,1159.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,100,0.013,1139,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,500,0.013,1139.1,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,1000,0.013,1139.4,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,2000,0.013,1139.6,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,3000,0.013,1139.8,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,4000,0.013,1140.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,6000,0.013,1140.8,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,8000,0.013,1141.4,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,10000,0.013,1142.2,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,15000,0.013,1143.6,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,20000,0.013,1145,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
KQPTB,313.15,25000,0.013,1146.7,de Pablo Nisa et al. (2017),Density,Liquid,AAeaVk,C=CC[n+]1ccn(C)c1.[Cl-],1-allyl-3-methylimidazolium chloride,AADYJk,O,water,,,
