setid,"Temperature, K","MolaLity of 3-hexyl-1-methylimidazolium acetate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HoSrA,288.15,0.0117,100,1000.09,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.0162,100,1000.19,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.0285,100,1000.4,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.044,100,1000.58,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.1102,100,1001.44,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.1674,100,1002.13,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.2233,100,1002.92,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.2797,100,1003.61,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.3357,100,1004.39,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.3914,100,1005.11,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.4475,100,1005.8,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,288.15,0.5029,100,1006.52,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.0117,100,999.03,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.0162,100,999.15,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.0285,100,999.32,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.044,100,999.53,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.1102,100,1000.29,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.1674,100,1000.95,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.2233,100,1001.64,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.2797,100,1002.33,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.3357,100,1003,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.3914,100,1003.71,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.4475,100,1004.46,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,293.15,0.5029,100,1005.19,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,298.15,0.0117,100,997.74,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
HoSrA,298.15,0.0162,100,997.89,Tong et al. (2016b),Density,Liquid,AADYJk,O,water,AArbij,CC(=O)[O-].CCCCCCn1cc[n+](C)c1,3-hexyl-1-methylimidazolium acetate,,,
