setid,Weight fraction of 1-butyl-3-methylimidazolium thiocyanate,Weight fraction of sodium ethanoate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
wBwNT,0.016,0.3041,298.15,101,1159,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.016,0.3041,303.15,101,1155.9,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.016,0.3041,308.15,101,1152.8,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.016,0.3041,313.15,101,1149.7,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.016,0.3041,318.15,101,1146.6,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.016,0.3041,323.15,101,1143.4,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.016,0.3041,328.15,101,1140.1,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.039,0.2711,298.15,101,1159.4,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.039,0.2711,303.15,101,1156.3,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.039,0.2711,308.15,101,1153.2,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.039,0.2711,313.15,101,1150.1,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.039,0.2711,318.15,101,1146.9,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.039,0.2711,323.15,101,1143.7,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.039,0.2711,328.15,101,1140.4,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.607,0.0397,298.15,101,1066.7,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.607,0.0397,303.15,101,1063.3,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.607,0.0397,308.15,101,1059.9,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.607,0.0397,313.15,101,1056.6,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.607,0.0397,318.15,101,1053.2,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.607,0.0397,323.15,101,1049.8,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.607,0.0397,328.15,101,1046.5,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.829,0.0053,303.15,101,1046,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.829,0.0053,308.15,101,1042.6,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
wBwNT,0.829,0.0053,313.15,101,1039.1,Quental et al. (2015),Density,Liquid,AAPomr,CC(=O)[O-].[Na+],sodium ethanoate,AADYJk,O,water,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate
