setid,"Temperature, K",Mole fraction of 1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
zwkzt,293.15,0,101,1255,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,293.15,0.2503,101,1208,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,293.15,0.5001,101,1165,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,293.15,0.7496,101,1124,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,293.15,1,101,1085,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,298.15,0,101,1252,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,298.15,0.2503,101,1204,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,298.15,0.5001,101,1161,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,298.15,0.7496,101,1121,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,298.15,1,101,1081,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,303.15,0,101,1248,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,303.15,0.2503,101,1201,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,303.15,0.5001,101,1158,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,303.15,0.7496,101,1117,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,303.15,1,101,1078,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,308.15,0,101,1245,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,308.15,0.2503,101,1198,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,308.15,0.5001,101,1155,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
zwkzt,308.15,0.7496,101,1114,Gouveia et al. (2016a),Density,Liquid,AAmkSk,CC[n+]1ccn(C)c1.N#C[C-](C#N)C#N,1-ethyl-3-methyl-1H-imidazolium tricyanomethanide,AAtNQC,CC[n+]1ccn(C)c1.NCCS(=O)(=O)[O-],1-ethyl-3-methylimidazolium taurinate,,,
