setid,"Temperature, K","Solvent: MolaLity of 1-dodecyl-3-methylimidazolium bromide, mol/kg","MolaLity of (S)-2-amino-2-phenylacetic acid, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gknCo,288.15,0,0,100,999.13,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.01124,100,999.658,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.02165,100,1000.15,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.03065,100,1000.57,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.03985,100,1001,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.05178,100,1001.56,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.06132,100,1002.01,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.07089,100,1002.46,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.07984,100,1002.88,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0,0.09123,100,1003.42,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0,100,999.28,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0.01002,100,999.75,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0.02046,100,1000.24,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
gknCo,288.15,0.005,0.02959,100,1000.67,Sharma et al. (2022e),Density,Liquid,AAdDdl,C1=CC=C(C=C1)C(C(=O)O)N,(S)-2-amino-2-phenylacetic acid,ABLlfj,CCCCCCCCCCCC[n+]1ccn(C)c1.[Br-],1-dodecyl-3-methylimidazolium bromide,AADYJk,O,water
