setid,"MolaLity of pentan-1-ol, mol/kg","Pressure, kPa","Temperature, K","Solvent: MolaLity of N,N,N-trimethyl-1-dodecanaminium chloride, mol/kg","Specific density<SUP>*</SUP>, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
dbVrV,0.04984,101,298,0.05,-0.69,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.0499,101,298,0.05,-0.83,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04994,101,298,0.05,-0.84,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04995,101,298,0.05,-0.8,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04995,101,298,0.05,-0.79,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04996,101,298,0.05,-0.86,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04996,101,298,0.05,-0.85,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04996,101,298,0.05,-0.85,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04996,101,298,0.05,-0.83,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04998,101,298,0.05,-0.85,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04999,101,298,0.05,-0.85,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04999,101,298,0.05,-0.85,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04999,101,298,0.05,-0.84,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.04999,101,298,0.05,-0.78,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.05,101,298,0.05,-0.75,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.05001,101,298,0.05,-0.84,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.05001,101,298,0.05,-0.83,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.05001,101,298,0.05,-0.77,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.05002,101,298,0.05,-0.83,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
dbVrV,0.05117,101,298,0.05,-0.873,De Lisi et al. (1989b),Density,Liquid,AAQxal,CCCCCO,pentan-1-ol,AAymqm,CCCCCCCCCCCC[N+](C)(C)C.[Cl-],"N,N,N-trimethyl-1-dodecanaminium chloride",AADYJk,O,water
