setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium trifluoromethanesulfonate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PbYTy,298.15,0,100,874,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,298.15,0.427,100,1169,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,298.15,0.647,100,1232,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,298.15,0.696,100,1246,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,298.15,0.878,100,1280,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,298.15,1,100,1300,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,308.15,0,100,863,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,308.15,0.427,100,1160,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,308.15,0.647,100,1224,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,308.15,0.696,100,1237,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,308.15,0.878,100,1272,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,308.15,1,100,1292,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,318.15,0,100,852,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,318.15,0.427,100,1152,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
PbYTy,318.15,0.647,100,1216,Batista et al. (2014),Density,Liquid,AAPBFE,c1ccccc1,benzene,ABDWVo,CCCC[n+]1ccn(C)c1.O=S(=O)([O-])C(F)(F)F,1-butyl-3-methylimidazolium trifluoromethanesulfonate,,,
