setid,Solvent: Weight fraction of tripotassium phosphate,"Temperature, K","MolaLity of 1-ethyl-3-methylimidazolium bromide, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Ezvzb,0,298.15,0.0513,101,999.779,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.061,101,1000.29,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.0686,101,1000.7,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.0854,101,1001.58,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.0919,101,1001.92,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.0992,101,1002.31,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.1112,101,1002.94,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.148,101,1004.85,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.1822,101,1006.62,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.2252,101,1008.82,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.3003,101,1012.6,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.3341,101,1014.27,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
Ezvzb,0,298.15,0.4578,101,1020.29,Zafarani-Moattar and Sarmad (2010b),Density,Liquid,AADYJk,O,water,AAoqAv,O=P([O-])([O-])[O-].[K+].[K+].[K+],tripotassium phosphate,AAkmTS,CC[n+]1ccn(C)c1.[Br-],1-ethyl-3-methylimidazolium bromide
