setid,"Temperature, K",Weight fraction of 1-hexyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
MXIuN,298.15,0.0108,101,997.6,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0168,101,998.06,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0215,101,998.1,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0323,101,998.7,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0339,101,998.85,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0432,101,999.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0509,101,999.77,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0533,101,999.8,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0647,101,1000.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0678,101,1000.65,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0756,101,1001,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0848,101,1001.66,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0859,101,1001.6,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.0969,101,1002.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.1018,101,1002.5,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.1078,101,1002.9,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.1186,101,1003.65,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.1356,101,1004.6,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.1526,101,1005.64,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
MXIuN,298.15,0.1695,101,1006.59,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAmzKp,CCCCCC[n+]1ccn(C)c1.[Cl-],1-hexyl-3-methylimidazolium chloride,,,
