setid,Mole fraction of methylcyclohexane,Mole fraction of benzene,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
EKbDu,0,0.554,298.15,101,1105.5,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.012,0.45,298.15,101,1131.9,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.013,0.416,298.15,101,1139.2,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.016,0.346,298.15,101,1153.8,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.016,0.396,298.15,101,1143.3,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.017,0.146,298.15,101,1188.8,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.018,0.102,298.15,101,1194.3,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.018,0.245,298.15,101,1172.3,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.018,0.293,298.15,101,1163.3,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.019,0.198,298.15,101,1180.1,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.02,0.281,298.15,101,1165.3,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.022,0.125,298.15,101,1191.1,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.025,0.052,298.15,101,1201.4,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
EKbDu,0.028,0,298.15,101,1207.3,Dominguez et al. (2013),Density,Liquid,AAPBFE,c1ccccc1,benzene,AAStyH,CC1CCCCC1,methylcyclohexane,AAwHNg,CCCC[n+]1ccn(C)c1.COS(=O)(=O)[O-],1-butyl-3-methylimidazolium methyl sulfate
