setid,"Temperature, K",Mole fraction of 1-butyl-3-methylimidazolium thiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
JzHoR,298.15,0,101,818.81,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.0806,101,845.64,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.14,101,864.24,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.2203,101,888.14,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.3006,101,910.91,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.3997,101,937.73,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.4903,101,960.98,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.5703,101,980.45,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.6949,101,1008.83,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.7981,101,1031.04,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.8852,101,1048.62,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,0.9793,101,1066.1,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,298.15,1,101,1069.8,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,308.15,0,101,811.73,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,308.15,0.0806,101,838.75,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,308.15,0.14,101,857.45,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,308.15,0.2203,101,881.49,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
JzHoR,308.15,0.3006,101,904.36,Domanska and Krolikowska (2010a),Density,Liquid,AAWSDQ,CCCCCCCO,heptan-1-ol,AAlxZE,CCCC[n+]1ccn(C)c1.N#C[S-],1-butyl-3-methylimidazolium thiocyanate,,,
