setid,"Temperature, K",Mole fraction of N-methyl-2-hydroxyethylammonium butanoate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nMBqS,298.15,0.0199,102,1016.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,0.0497,102,1035,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,0.1005,102,1040.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,0.196,102,1050.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,0.3008,102,1052.5,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,0.4005,102,1049.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,0.509,102,1046.8,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,0.5968,102,1045,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,0.8069,102,1041.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,298.15,1,102,1035.3,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,303.15,0.0199,102,1013.1,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,303.15,0.0497,102,1032.4,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,303.15,0.1005,102,1037.9,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,303.15,0.196,102,1047.4,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,303.15,0.3008,102,1049.4,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,303.15,0.4005,102,1046,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
nMBqS,303.15,0.509,102,1043.6,Li et al. (2016f),Density,Liquid,AADYJk,O,water,AAfUVe,CCCC(=O)[O-].C[NH2+]CCO,N-methyl-2-hydroxyethylammonium butanoate,,,
