setid,"Temperature, K",Mole fraction of butylammonium formate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FIPCh,293.15,0,92.3,814.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.0513,92.3,825.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.094,92.3,833.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.1526,92.3,844,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.2004,92.3,852.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.2515,92.3,861.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.2993,92.3,869.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.3498,92.3,877.6,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.3992,92.3,885.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.4504,92.3,893.9,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.4998,92.3,901.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.5478,92.3,909.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.5952,92.3,916.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.6403,92.3,923.1,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.6988,92.3,931.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.7495,92.3,939.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.798,92.3,946,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.8489,92.3,953.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.8854,92.3,958.3,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,0.9448,92.3,966.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,293.15,1,92.3,973.6,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0,92.3,811.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.0513,92.3,821.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.094,92.3,829.6,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.1526,92.3,840.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.2004,92.3,848.9,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.2515,92.3,857.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.2993,92.3,865.8,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.3498,92.3,874.3,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.3992,92.3,882.4,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.4504,92.3,890.7,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.4998,92.3,898.5,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.5478,92.3,906,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
FIPCh,298.15,0.5952,92.3,913.2,Fernandes et al. (2020),Density,Liquid,AAWvbn,CCCC[NH3+].O=C[O-],butylammonium formate,AAQxal,CCCCCO,pentan-1-ol,,,
