setid,"Temperature, K",Mole fraction of tributylmethylphosphonium methyl sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
Btnio,293.15,0,101,1032.7,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.056,101,1038.6,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.0914,101,1041.9,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.1311,101,1044.7,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.1773,101,1047.6,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.2318,101,1050.1,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.2971,101,1053.4,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.3764,101,1055.7,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.4752,101,1057.9,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.6014,101,1059.4,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.7129,101,1059.8,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.8086,101,1061.1,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.8515,101,1061.2,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.9022,101,1061.7,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,0.9468,101,1061.5,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,293.15,1,101,1061.7,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0,101,1025.8,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.056,101,1035.1,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.0914,101,1039.2,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.1311,101,1043.4,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.1773,101,1046.8,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.2318,101,1050.1,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.2971,101,1052.8,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.3764,101,1054.8,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.4752,101,1056.2,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.6014,101,1057.2,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.7129,101,1057.7,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.8086,101,1057.9,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.8515,101,1058,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.9022,101,1058.1,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,0.9468,101,1058.4,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,298.15,1,101,1058.7,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,303.15,0,101,1023.7,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,303.15,0.056,101,1032.4,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,303.15,0.0914,101,1036.4,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,303.15,0.1311,101,1040.2,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
Btnio,303.15,0.1773,101,1043.6,Umapathi et al. (2017),Density,Liquid,ABLIPe,CCCC[P+](C)(CCCC)CCCC.COS(=O)(=O)[O-],tributylmethylphosphonium methyl sulfate,AATDtI,CN1CCCC1=O,N-methylpyrrolidone,,,
