setid,"Solvent: MolaLity of 1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate, mol/kg","MolaLity of (S)-2-aminopropanoic acid, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yQZys,0.1101,0,87,298.15,997.665,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.1101,0.0988,87,298.15,1000.42,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.1101,0.1493,87,298.15,1001.81,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.1101,0.2057,87,298.15,1003.34,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.1101,0.2728,87,298.15,1005.15,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.1101,0.3403,87,298.15,1006.95,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.1101,0.3854,87,298.15,1008.13,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.1101,0.4378,87,298.15,1009.51,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.2001,0,87,298.15,998.173,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
yQZys,0.2001,0.0974,87,298.15,1000.86,Shekaari et al. (2019d),Density,Liquid,ABZCkl,CC(C)Cc1ccc(C(C)C(=O)[O-])cc1.CCCCCCCCn1cc[n+](C)c1,1-octyl-3-methyl-1H-imidazol-3-ium 2-(4-isobutylphenyl)propanoate,AARGJq,C[C@H](N)C(=O)O,(S)-2-aminopropanoic acid,AADYJk,O,water
