setid,Mole fraction of tetraethylammonium nitrate,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
yuWWr,0,293.15,101,1215.6,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,298.15,101,1212.4,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,303.15,101,1209.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,308.15,101,1206.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,313.15,101,1203.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,318.15,101,1200.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,323.15,101,1197.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,328.15,101,1194.1,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,333.15,101,1191.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,338.15,101,1188.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,343.15,101,1185.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,348.15,101,1182.4,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0,353.15,101,1179.5,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,293.15,101,1198.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,298.15,101,1195.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,303.15,101,1192.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,308.15,101,1189.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,313.15,101,1186.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,318.15,101,1183.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,323.15,101,1180.3,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,328.15,101,1177.4,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,333.15,101,1174.6,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,338.15,101,1171.7,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,343.15,101,1168.8,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,348.15,101,1166,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.0501,353.15,101,1163.2,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,293.15,101,1184,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
yuWWr,0.1,298.15,101,1180.9,Canongia Lopes et al. (2016),Density,Liquid,AAkyCj,CC[N+](CC)(CC)CC.O=[N+]([O-])[O-],tetraethylammonium nitrate,AAUohR,CC[NH3+].O=[N+]([O-])[O-],ethylammonium nitrate,,,
