setid,"Temperature, K",Weight fraction of 1-butyl-3-methylimidazolium chloride,Weight fraction of cesium sulfate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bqVdS,298.2,0,0.644,100,2007,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.0334,0.603,100,1876.4,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.076,0.547,100,1740,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.1318,0.477,100,1600,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.2095,0.377,100,1445,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.3236,0.248,100,1273,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.4483,0.125,100,1165,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.5717,0.043,100,1102.1,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.6739,0.013,100,1081.3,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
bqVdS,298.2,0.7655,0.0036,100,1079.8,Li et al. (2019e),Density,Liquid,AAherF,CCCC[n+]1ccn(C)c1.[Cl-],1-butyl-3-methylimidazolium chloride,ABRejD,O=S(=O)([O-])[O-].[Cs+].[Cs+],cesium sulfate,AADYJk,O,water
