setid,"Temperature, K",Mole fraction of ammonium isothiocyanate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
XPCRe,298.15,0,100,1115.6,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,298.15,0.039,100,1115.8,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,298.15,0.099,100,1116.8,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,298.15,0.1395,100,1116,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,303.15,0,100,1112.5,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,303.15,0.039,100,1112.7,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,303.15,0.099,100,1113.8,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,303.15,0.1395,100,1113,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,308.15,0,100,1109.5,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,308.15,0.039,100,1109.7,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,308.15,0.099,100,1110.8,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
XPCRe,308.15,0.1395,100,1110,Bastos et al. (2015),Density,Liquid,AAOhEc,[N-]=C=S.[NH4+],ammonium isothiocyanate,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,,,
