setid,"Temperature, K",Weight fraction of 1-ethyl-3-methylimidazolium chloride,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
FtBHQ,298.15,0.0117,101,998.54,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.012,101,998.4,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0234,101,999.88,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.024,101,999.7,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0351,101,1001.24,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0361,101,1001.1,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0471,101,1002.62,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0482,101,1002.5,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0589,101,1004.01,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0602,101,1003.8,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0708,101,1005.45,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0721,101,1005.3,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0822,101,1006.79,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0844,101,1006.6,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0941,101,1008.12,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.0964,101,1008.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.1061,101,1009.76,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.1084,101,1009.68,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.1171,101,1011.04,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
FtBHQ,298.15,0.1205,101,1011.2,Tang et al. (2014a),Density,Liquid,AADYJk,O,water,AAcKZa,CC[n+]1ccn(C)c1.[Cl-],1-ethyl-3-methylimidazolium chloride,,,
