setid,"Moles per mass of solution: tetrabutylammonium perchlorate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
PHrqd,0,100,298.15,1064.18,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.03613,100,298.15,1064.55,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.04115,100,298.15,1064.59,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.0463,100,298.15,1064.62,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.05155,100,298.15,1064.65,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.05682,100,298.15,1064.7,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.06219,100,298.15,1064.74,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.06722,100,298.15,1064.76,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.0789,100,298.15,1064.83,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.08832,100,298.15,1064.88,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.10307,100,298.15,1064.96,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.11703,100,298.15,1065.01,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.13536,100,298.15,1065.09,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.15619,100,298.15,1065.18,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.17616,100,298.15,1065.23,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
PHrqd,0.19606,100,298.15,1065.28,Krakowiak et al. (2001),Density,Liquid,ABNnlj,CCCC[N+](CCCC)(CCCC)CCCC.[O-]Cl(=O)(=O)=O,tetrabutylammonium perchlorate,AAjBXh,CCOP(=O)(OCC)OCC,triethyl phosphate,,,
