setid,"Temperature, K","MolaLity of 1-butyl-1-methylpyrrolidinium tetrafluoroborate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
NvBCx,288.15,0,100,787.5,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.05,100,790.9,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.1002,100,794.3,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.1498,100,797.6,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.1999,100,800.8,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.2502,100,803.9,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.2999,100,806.9,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.3503,100,809.9,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.4,100,812.8,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.4503,100,815.7,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,288.15,0.5,100,818.5,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0,100,782.2,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0.05,100,785.6,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0.1002,100,788.9,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0.1498,100,792.2,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0.1999,100,795.4,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0.2502,100,798.5,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0.2999,100,801.6,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0.3503,100,804.6,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
NvBCx,293.15,0.4,100,807.6,Sahin and Ayranci (2019),Density,Liquid,AAsCNC,CCCC[N+]1(C)CCCC1.F[B-](F)(F)F,1-butyl-1-methylpyrrolidinium tetrafluoroborate,AAHueB,CC#N,acetonitrile,,,
