setid,"Pressure, kPa",Mole fraction of carbon dioxide,"Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
gTXVz,1.3,0.19,313.15,1489.2,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,1.8,0.244,313.15,1484.2,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,2.2,0.29,313.15,1477.6,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,2.8,0.352,313.15,1470.4,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,3.3,0.399,313.15,1462.8,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,3.8,0.433,313.15,1457.8,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,4.3,0.475,313.15,1450.4,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,5,0.507,313.15,1442.6,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,5.5,0.542,313.15,1435.1,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,6.1,0.571,313.15,1427.8,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,6.9,0.607,313.15,1418,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
gTXVz,8.3,0.663,313.15,1402.7,Watanabe et al. (2022),Density,Liquid,ABVajc,CCC(O)=[N+](C)C.O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F,"N,N-dimethylpropionamidium bis(trifluoromethanesulfonyl)amide",AAIYzl,O=C=O,carbon dioxide,,,
