setid,"Temperature, K","MolaLity of dodecyltrimethylammonium bromide, mol/kg","Pressure, kPa","Solvent: MolaLity of tetrapropylammonium acetate, mol/kg","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
poXAL,293.15,0,100,0.01,998.647,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.003,100,0.01,998.767,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.006,100,0.01,998.879,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.009,100,0.01,998.985,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.012,100,0.01,999.087,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.015,100,0.01,999.183,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.018,100,0.01,999.276,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.021,100,0.01,999.377,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.024,100,0.01,999.483,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.027,100,0.01,999.586,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
poXAL,293.15,0.03,100,0.01,999.697,Kaur and Chauhan (2020),Density,Liquid,AAvKaT,CC(=O)[O-].CCC[N+](CCC)(CCC)CCC,tetrapropylammonium acetate,ABHPBX,CCCCCCCCCCCC[N+](C)(C)C.[Br-],dodecyltrimethylammonium bromide,AADYJk,O,water
