setid,"Temperature, K","Mole fraction of (3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane","Mole fraction of (3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane","Pressure, kPa","Molar volume, m<SUP>3</SUP>/mol",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
ohcGC,282.6,0.041,0.041,101,0.0001997,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,282.6,0.4975,0.4975,101,0.0001576,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,294.8,0.0415,0.0415,101,0.0002011,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,294.8,0.497,0.497,101,0.0001611,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,303.5,0.043,0.043,101,0.0002022,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,303.5,0.496,0.496,101,0.0001638,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,313.7,0.043,0.043,101,0.0002035,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,313.7,0.4935,0.4935,101,0.0001666,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,323.8,0.038,0.038,101,0.0002054,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
ohcGC,323.8,0.4915,0.4915,101,0.0001702,Shiflett and Yokozeki (2008b),Density,Liquid,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,AAwYcW,F[C@@H]([C@@H](F)C(F)(F)F)C(F)(F)C(F)(F)F,"(3S,4R)-1,1,1,2,2,3,4,5,5,5-decafluoropentane",AAwYjV,F[C@@H]([C@@H](F)C(F)(F)C(F)(F)F)C(F)(F)F,"(3R,4S)-1,1,1,2,2,3,4,5,5,5-decafluoropentane"
