setid,"Temperature, K","Pressure, kPa",Mole fraction of 1-ethyl-3-methylimidazolium thiocyanate,"Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
HZeoc,283.15,101,0.3333,1124.5,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,288.15,101,0.3333,1120.4,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,293.15,101,0.3333,1116.3,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,298.15,101,0.3333,1112.2,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,303.15,101,0.3333,1108.1,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,308.15,101,0.3333,1104,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,313.15,101,0.3333,1099.9,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,318.15,101,0.3333,1095.8,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,323.15,101,0.3333,1091.7,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,328.15,101,0.3333,1087.6,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,333.15,101,0.3333,1083.5,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,338.15,101,0.3333,1079.4,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,343.15,101,0.3333,1075.3,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,348.15,101,0.3333,1071.2,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
HZeoc,353.15,101,0.3333,1067.1,Mohan et al. (2022),Density,Liquid,AAgcST,CC[n+]1ccn(C)c1.N#C[S-],1-ethyl-3-methylimidazolium thiocyanate,AAPByN,CS(C)=O,dimethyl sulfoxide,,,
