setid,"Temperature, K","MolaLity of benzyldimethylammonium hexanoate, mol/kg","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
nsPyw,293.15,0.07436,101,948.502,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,293.15,0.12389,101,948.377,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,293.15,0.17109,101,948.195,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,293.15,0.24805,101,948.366,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,293.15,0.27577,101,947.887,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,293.15,0.34076,101,948.069,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,293.15,0.39868,101,947.741,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,293.15,0.45074,101,947.624,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,298.15,0.07436,101,943.746,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,298.15,0.12389,101,943.633,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,298.15,0.17109,101,943.453,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,298.15,0.24805,101,943.628,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,298.15,0.27577,101,943.152,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,298.15,0.34076,101,943.331,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,298.15,0.39868,101,943.003,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,298.15,0.45074,101,942.887,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,303.15,0.07436,101,938.99,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,303.15,0.12389,101,938.88,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,303.15,0.17109,101,938.711,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,303.15,0.24805,101,938.881,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,303.15,0.27577,101,938.407,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,303.15,0.34076,101,938.592,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,303.15,0.39868,101,938.263,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,303.15,0.45074,101,938.143,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
nsPyw,308.15,0.07436,101,934.22,Keshapolla et al. (2014),Density,Liquid,AAOCWD,CN(C)C=O,dimethylformamide,AAwRYL,CCCCCC(=O)[O-].C[NH+](C)Cc1ccccc1,benzyldimethylammonium hexanoate,,,
