setid,Weight fraction of tetrabutylammonium chloride,"Temperature, K","Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
bQpru,0.2704,293.15,101.3,940,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.2704,298.15,101.3,936.4,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.2704,303.15,101.3,932.9,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.2704,308.15,101.3,929.3,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.2704,313.15,101.3,925.7,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.2704,318.15,101.3,922.2,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.2704,323.15,101.3,918.6,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.2704,328.15,101.3,915,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.2704,333.15,101.3,911.4,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,293.15,101.3,940.3,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,298.15,101.3,936.8,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,303.15,101.3,933.3,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,308.15,101.3,929.9,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,313.15,101.3,926.4,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,318.15,101.3,922.9,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,323.15,101.3,919.4,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,328.15,101.3,915.9,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
bQpru,0.3161,333.15,101.3,912.4,Nowosielski et al. (2023),Density,Liquid,ABBXWo,CCCC[N+](CCCC)(CCCC)CCCC.[Cl-],tetrabutylammonium chloride,AAOXUk,CNCCO,2-(methylamino)ethanol,,,
