setid,"Temperature, K",Mole fraction of dimethyl sulfoxide,Mole fraction of water,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
aDXHL,293.15,0,0.018,100,1101.7,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.052,0.018,100,1102.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.101,0.016,100,1103,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.192,0.022,100,1103.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.294,0.023,100,1104.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.395,0.016,100,1105.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.494,0.013,100,1106.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.593,0.011,100,1107.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.679,0.01,100,1107.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.795,0.009,100,1107.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.893,0.007,100,1105.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,293.15,0.998,0.002,100,1100.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0,0.018,100,1095.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.052,0.018,100,1096.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.101,0.016,100,1096.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.192,0.022,100,1097.5,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.294,0.023,100,1098.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.395,0.016,100,1099,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.494,0.013,100,1099.5,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.593,0.011,100,1099.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.679,0.01,100,1099.9,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.795,0.009,100,1098.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.893,0.007,100,1096.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,303.15,0.998,0.002,100,1090.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,313.15,0,0.018,100,1089.6,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,313.15,0.052,0.018,100,1090.3,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,313.15,0.101,0.016,100,1090.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,313.15,0.192,0.022,100,1091.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,313.15,0.294,0.023,100,1091.8,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,313.15,0.395,0.016,100,1092.2,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
aDXHL,313.15,0.494,0.013,100,1092.4,Nisa et al. (2019),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,AAgmaR,CC(=O)[O-].CC[n+]1ccn(C)c1,1-ethyl-3-methylimidazolium acetate,AADYJk,O,water
