setid,"MolaLity of lithium bis((trifluoromethyl)sulfonyl)amide, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
BEHYU,0.002427,101,298.15,997.4,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.0052,101,298.15,997.8,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.00747,101,298.15,998.2,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.00964,101,298.15,998.5,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01136,101,298.15,998.7,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01223,101,298.15,998.9,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01324,101,298.15,999,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.0148,101,298.15,999.2,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01594,101,298.15,999.4,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01674,101,298.15,999.5,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01713,101,298.15,999.6,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01768,101,298.15,999.7,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01844,101,298.15,999.8,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.01927,101,298.15,999.9,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.02004,101,298.15,1000,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.02068,101,298.15,1000.1,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.02164,101,298.15,1000.2,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.02952,101,298.15,1001.4,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.04257,101,298.15,1003.3,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.04303,101,298.15,1003.3,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.0619,101,298.15,1006.1,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.0877,101,298.15,1009.8,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.1017,101,298.15,1011.8,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.1169,101,298.15,1014,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.1365,101,298.15,1017.6,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
BEHYU,0.1415,101,298.15,1017.6,Perron et al. (1997),Density,Liquid,ABDKGa,O=S(=O)([N-]S(=O)(=O)C(F)(F)F)C(F)(F)F.[Li+],lithium bis((trifluoromethyl)sulfonyl)amide,AADYJk,O,water,,,
