setid,"MolaLity of 1-butyl-3-methylimidazolium hexafluorophosphate, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
OQMgq,0.0112,101,298.15,1095.98,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.0243,101,298.15,1096.8,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.044,101,298.15,1098.02,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.0716,101,298.15,1099.71,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.0889,101,298.15,1100.74,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.1233,101,298.15,1102.81,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.147,101,298.15,1104.2,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.238,101,298.15,1109.44,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.3189,101,298.15,1113.93,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.3955,101,298.15,1118.05,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
OQMgq,0.5188,101,298.15,1124.4,Zafarani-Moattar and Shekaari (2006a),Density,Liquid,AAPByN,CS(C)=O,dimethyl sulfoxide,ABChJv,CCCC[n+]1ccn(C)c1.F[P-](F)(F)(F)(F)F,1-butyl-3-methylimidazolium hexafluorophosphate,,,
