setid,Solvent: Weight fraction of tetrabutylphosphonium tetrafluoroborate,"MolaLity of 2-aminoacetic acid, mol/kg","Pressure, kPa","Temperature, K","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
DtOfp,0.001,0.1,100,298.15,997.4,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.001,0.158,100,298.15,997.8,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.001,0.201,100,298.15,998.2,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.001,0.235,100,298.15,998.7,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.001,0.265,100,298.15,999.2,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.001,0.292,100,298.15,999.6,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.003,0.1,100,298.15,998.9,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.003,0.158,100,298.15,999.2,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.003,0.2,100,298.15,999.5,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.003,0.235,100,298.15,999.9,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.003,0.265,100,298.15,1000.3,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.003,0.292,100,298.15,1000.7,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.005,0.1,100,298.15,1000.2,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.005,0.158,100,298.15,1000.5,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.005,0.2,100,298.15,1000.8,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.005,0.235,100,298.15,1001.1,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.005,0.265,100,298.15,1001.4,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
DtOfp,0.005,0.292,100,298.15,1001.8,Roy et al. (2013c),Density,Liquid,AAOWgA,NCC(=O)O,2-aminoacetic acid,ABOejo,CCCC[P+](CCCC)(CCCC)CCCC.F[B-](F)(F)F,tetrabutylphosphonium tetrafluoroborate,AADYJk,O,water
