setid,"Temperature, K",Mole fraction of 1-butylpyridinium tetrafluoroborate,"Pressure, kPa","Specific density, kg/m<SUP>3</SUP>",reference,propertiy,phases,compound id 1,smile 1,compound name 1,compound id 2,smile 2,compound name 2,compound id 3,smile 3,compound name 3
lvdhc,293.15,0.0488,101,879.687,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.0977,101,942.275,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.1957,101,1026.33,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.2956,101,1081.14,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.3891,101,1116.71,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.4948,101,1145.82,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.6144,101,1169.96,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.6887,101,1181.83,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.7881,101,1195.32,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.8426,101,1201.58,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,293.15,0.8942,101,1207.06,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.0488,101,870.759,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.0977,101,933.5,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.1957,101,1018.2,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.2956,101,1073.36,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.3891,101,1109.22,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.4948,101,1138.45,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.6144,101,1162.63,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.6887,101,1174.61,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.7881,101,1188.15,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.8426,101,1194.55,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,303.15,0.8942,101,1200.07,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.0488,101,862.001,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.0977,101,925.428,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.1957,101,1010.91,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.2956,101,1066.23,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.3891,101,1101.93,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.4948,101,1131.08,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.6144,101,1155.6,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.6887,101,1167.69,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.7881,101,1181.37,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.8426,101,1187.82,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,313.15,0.8942,101,1193.41,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,323.15,0.0479,101,852.569,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
lvdhc,323.15,0.0962,101,916.336,Garcia-Mardones et al. (2010),Density,Liquid,AAGIBL,CO,methanol,AAquMR,CCCC[n+]1ccccc1.F[B-](F)(F)F,1-butylpyridinium tetrafluoroborate,,,
